日期,负荷
37561,1687.979
37562,1653.573
37563,1634.035
37564,1715.912
37565,1732.314
37566,1717.768
37567,1697.009
37568,1733.018
37569,1696.422
37570,1646.448
37571,1704.952
37572,1702.916
37573,1711.952
37574,1747.226
37575,1763.452
37576,1691.221
37577,1696.741
37578,1793.252
37579,1810.376
37580,1839.362
37581,1837.824
37582,1832.501
37583,1772.466
37584,1746.626
37585,1846.997
37586,1838.84
37587,1851.848
37588,1824.932
37589,1804.637
37590,1763.663
37591,1781.514
37592,1784.546
37593,1787.578
37594,1827.612
37595,1834.83
37596,1926.958
37597,1828.535
37598,1826.469
37599,1994.044
37600,2004.024
37601,1991.519
37602,1962.95
37603,1954.016
37604,1847.547
37605,1779.681
37606,1966.777
37607,2020.455
37608,1966.946
37609,1897.077
37610,1957.391
37611,1869.635
37612,1808.667
37613,2011.167
37614,2037.886
37615,2116.468
37616,2074.055
37617,2074.162
37618,2023.701
37619,1973.24
37620,2022.363
37621,2060.733
37622,1886.784
37623,2093.609
37624,2144.202
37625,2031.939
37626,2092.762
37627,2082.592
37628,2193.054
37629,2174.712
37630,2125.666
37631,2138.156
37632,2017.781
37633,1909.479
37634,1976.352
37635,2017.692
37636,2051.48
37637,2004.56
37638,1957.641
37639,1912.133
37640,1864.214
37641,1987.341
37642,1994.535
37643,1993.61
37644,1986.687
37645,1838.601
37646,1853.127
37647,1867.653
37648,1967.983
37649,1879.606
37650,1828.914
37651,1786.733
37652,1635.841
37653,1494.852
37654,1495.771
37655,1496.691
37656,1497.61
37657,1498.529
37658,1532.062
37659,1576.753
37660,1667.316
37661,1700.753
37662,1892.045
37663,1979.298
37664,1972.014
37665,1964.555
37666,2002.166
37667,1857.926
37668,1810.797
37669,1950.48
37670,1900.587
37671,1872.356
37672,1872.377
37673,1854.294
37674,1815.235
37675,1798.126
37676,1873.625
37677,1894.46
37678,1944.89
37679,1921.794
37680,1989.778
37681,1876.809
37682,1829.415
37683,2034.267
37684,2069.595
37685,2084.972
37686,2082.31
37687,2017.866
37688,1854.913
37689,1798.416
37690,1921.862
37691,1939.211
37692,1951.687
37693,1951.639
37694,2019.191
37695,1922.702
37696,1904.377
37697,2061.779
37698,1973.546
37699,1949.91
37700,1939.917
37701,1862.989
37702,1815.852
37703,1774.631
37704,1848.762
37705,1834.855
37706,1791.775
37707,1785.664
37708,1794.091
37709,1742.712
37710,1697.202
37711,1786.685
37712,1787.567
37713,1806.075
37714,1776.902
37715,1769.947
37716,1665.4
37717,1644.526
37718,1746.222
37719,1733.771
37720,1757.276
37721,1777.626
37722,1752.196
37723,1726.766
37724,1690.621
37725,1757.105
37726,1775.281
37727,1790.467
37728,1815.906
37729,1819.218
37730,1751.578
37731,1686.115
37732,1783.774
37733,1777.872
37734,1818.715
37735,1842.516
37736,1828.153
37737,1769.158
37738,1743.256
37739,1786.405
37740,1778.264
37741,1733.158
37742,1626.419
37743,1611.536
37744,1613.125
37745,1679.057
37746,1677.828
37747,1746.68
37748,1781.185
37749,1773.278
37750,1758.893
37751,1729.444
37752,1711.405
37753,1803.462
37754,1807.683
37755,1795.222
37756,1684.996
37757,1761.887
37758,1709.996
37759,1689.842
37760,1785.991
37761,1785.764
37762,1781.112
37763,1805.612
37764,1820.365
37765,1732.787
37766,1703.396
37767,1789.162
37768,1830.696
37769,1812.152
37770,1805.845
37771,1805.922
37772,1742.796
37773,1701.156
37774,1830.465
37775,1841.168
37776,1812.076
37777,1861.855
37778,1946.501
37779,1846.728
37780,1797.379
37781,1965.042
37782,2001.338
37783,1852.338
37784,1873.246
37785,1920.378
37786,1879.072
37787,1826.224
37788,1920.707
37789,1974.64
37790,1992.773
37791,2035.693
37792,2078.614
37793,1918.474
37794,1941.68
37795,2010.744
37796,2070.754
37797,2112.234
37798,2094.605
37799,1949.933
37800,1926.068
37801,1927.87
37802,2120.852
37803,1991.491
37804,2174.182
37805,2191.026
37806,2335.925
37807,1984.744
37808,1949.956
37809,2110.21
37810,2110.943
37811,2071.823
37812,2033.019
37813,2014.428
37814,2074.557
37815,2145.007
37816,2352.804
37817,2252.09
37818,2151.376
37819,2183.985
37820,2149.812
37821,2232.186
37822,2133.989
37823,2474.794
37824,2409.719
37825,2531.433
37826,2714.786
37827,2783.718
37828,2694.045
37829,2647.561
37830,2814.385
37831,2865.811
37832,2854.853
37833,2843.895
37834,2832.937
37835,2821.979
37836,2555.599
37837,2554.873
37838,2660.488
37839,2691.976
37840,2798.147
37841,2744.839
37842,2449.985
37843,2254.021
37844,2236.081
37845,2070.044
37846,1904.007
37847,1886.768
37848,1959.785
37849,1949.562
37850,1900.293
37851,1969.723
37852,1986.834
37853,2103.527
37854,2257.918
37855,2462.38
37856,2510.316
37857,2398.261
37858,2401.912
37859,2482.125
37860,2534.287
37861,2581.964
37862,2377.432
37863,2018.769
37864,1866.975
